B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 0
B18, 0
B19, 0
B20, 0
B21, 0
B22, 0
B23, 0
B24, 0
B25, 0
B26, 0
B27, 0
S03, Trade, 180.629, 198, B51, S03, 1
S03, Trade, 240.773, 197, B37, S03, 1
S03, Trade, 305.879, 191, B33, S03, 1
S03, Trade, 360.341, 192, B44, S03, 1
S03, Trade, 423.485, 193, B48, S03, 1
S03, Trade, 486.682, 198, B32, S03, 1
S03, Trade, 543.409, 192, B44, S03, 1
S04, 9
S04, Trade, 60.538, 194, B40, S04, 1
S04, Trade, 121.303, 195, S04, B52, 1
S04, Trade, 180.697, 199, B63, S04, 1
S04, Trade, 240.712, 203, S04, B44, 1
S04, Trade, 300.803, 192, S04, B54, 1
S04, Trade, 360.955, 198, S04, B60, 1
S04, Trade, 421.644, 194, S04, B65, 1
S04, Trade, 480.174, 196, S04, B54, 1
S04, Trade, 541.523, 197, S04, B45, 1
S05, 9
S05, Trade, 65.788, 200, B43, S05, 1
S05, Trade, 121.803, 192, B32, S05, 1
S05, Trade, 181.000, 200, S05, B52, 1
S05, Trade, 241.576, 199, B64, S05, 1
S05, Trade, 300.455, 199, S05, B36, 1
S05, Trade, 360.735, 196, S05, B63, 1
S05, Trade, 420.417, 200, S05, B36, 1
S05, Trade, 486.273, 199, B33, S05, 1
S05, Trade, 542.962, 193, B40, S05, 1
S06, 2
S06, Trade, 482.500, 225, B59, S06, 1
S06, Trade, 540.500, 197, B58, S06, 1
S07, 2
S07, Trade, 480.674, 235, B53, S07, 1
S07, Trade, 541.432, 194, B43, S07, 1
S08, 2
S08, Trade, 485.606, 204, B34, S08, 1
S08, Trade, 542.902, 193, B34, S08, 1
S09, 9
S09, Trade, 65.326, 200, B34, S09, 1
S09, Trade, 121.780, 193, S09, B59, 1
S09, Trade, 180.917, 199, B38, S09, 1
S09, Trade, 240.652, 205, S09, B49, 1
S09, Trade, 302.091, 192, B38, S09, 1
S09, Trade, 361.288, 198, S09, B59, 1
S09, Trade, 421.045, 195, B40, S09, 1
S09, Trade, 480.962, 233, B57, S09, 1
S09, Trade, 544.068, 194, S09, B36, 1
S10, 9
