B00, 0
B01, 0
B02, 0
B03, 1
S09, Trade, 120.295, 262, B16, S09, 1
S09, Trade, 180.818, 218, S09, B18, 1
S09, Trade, 242.659, 203, S09, B16, 1
S09, Trade, 361.795, 224, S09, B20, 1
S09, Trade, 421.136, 219, S09, B20, 1
S10, 3
S10, Trade, 60.432, 210, S10, B18, 1
S10, Trade, 181.818, 215, S10, B16, 1
S10, Trade, 301.955, 242, S10, B16, 1
S11, 6
S11, Trade, 63.023, 207, S11, B20, 1
S11, Trade, 120.614, 221, S11, B13, 1
S11, Trade, 240.636, 211, S11, B20, 1
S11, Trade, 362.318, 218, B14, S11, 1
S11, Trade, 480.455, 217, S11, B13, 1
S11, Trade, 541.341, 222, S11, B18, 1
S12, 3
S12, Trade, 63.455, 217, S12, B16, 1
S12, Trade, 300.409, 285, B18, S12, 1
S12, Trade, 481.159, 217, S12, B20, 1
S13, 4
S13, Trade, 60.477, 228, S13, B19, 1
S13, Trade, 180.977, 228, S13, B13, 1
S13, Trade, 301.500, 228, B13, S13, 1
S13, Trade, 540.909, 228, S13, B19, 1
S14, 3
S14, Trade, 120.659, 240, S14, B20, 1
S14, Trade, 301.568, 240, S14, B19, 1
S14, Trade, 420.500, 240, S14, B16, 1
S15, 1
S15, Trade, 120.932, 251, S15, B18, 1
S16, 0
S17, 1
S17, Trade, 300.477, 303, S17, B20, 1
S18, 0
S19, 0
S20, 0
S21, 0
