B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
S17, 1
S17, Trade, 10.200, 230, B36, S17, 1
S18, 7
S18, Trade, 6.525, 209, S18, B31, 1
S18, Trade, 19.962, 216, S18, B30, 1
S18, Trade, 31.962, 215, S18, B27, 1
S18, Trade, 47.475, 212, B23, S18, 1
S18, Trade, 48.575, 212, B31, S18, 1
S18, Trade, 52.488, 212, B36, S18, 1
S18, Trade, 84.388, 211, S18, B28, 1
S19, 1
S19, Trade, 53.500, 213, S19, B30, 1
S20, 4
S20, Trade, 55.913, 212, S20, B39, 1
S20, Trade, 87.275, 209, B37, S20, 1
S20, Trade, 100.175, 209, B36, S20, 1
S20, Trade, 101.450, 209, B26, S20, 1
S21, 2
S21, Trade, 53.738, 212, B22, S21, 1
S21, Trade, 82.300, 211, B23, S21, 1
S22, 1
S22, Trade, 6.400, 215, S22, B39, 1
S23, 0
S24, 0
S25, 0
S26, 1
S26, Trade, 3.363, 269, S26, B38, 1
S27, 0
S28, 0
S29, 0
S30, 0
S31, 0
S32, 0
S33, 0
S34, 0
S35, 0
S36, 0
S37, 0
S38, 0
S39, 0
