B00, 0
B01, 0
B02, 1
B22, Trade, 217.287, 202, B22, S16, 1
B22, Trade, 221.825, 203, S20, B22, 1
B22, Trade, 237.137, 197, B22, S08, 1
B22, Trade, 249.112, 198, S17, B22, 1
B22, Trade, 252.412, 200, B22, S17, 1
B22, Trade, 268.462, 191, S09, B22, 1
B22, Trade, 279.325, 214, B22, S10, 1
B22, Trade, 286.100, 193, B22, S12, 1
B22, Trade, 296.037, 193, B22, S11, 1
B22, Trade, 314.437, 339, S07, B22, 1
B22, Trade, 330.000, 348, S19, B22, 1
B22, Trade, 337.662, 346, B22, S17, 1
B22, Trade, 348.287, 348, S13, B22, 1
B22, Trade, 352.012, 349, B22, S04, 1
B22, Trade, 368.075, 340, B22, S01, 1
B22, Trade, 373.200, 344, S06, B22, 1
B22, Trade, 386.275, 353, B22, S05, 1
B22, Trade, 400.587, 341, S06, B22, 1
B22, Trade, 408.075, 349, B22, S00, 1
B22, Trade, 418.512, 351, S20, B22, 1
B22, Trade, 429.387, 352, B22, S01, 1
B22, Trade, 439.825, 344, S11, B22, 1
B22, Trade, 444.337, 347, B22, S05, 1
B22, Trade, 457.800, 351, B22, S09, 1
B22, Trade, 463.900, 350, B22, S05, 1
B22, Trade, 476.762, 347, S13, B22, 1
B22, Trade, 483.675, 348, B22, S09, 1
B22, Trade, 496.987, 345, S01, B22, 1
B22, Trade, 504.250, 343, B22, S09, 1
B22, Trade, 511.762, 346, B22, S11, 1
B22, Trade, 533.087, 345, B22, S17, 1
B22, Trade, 543.875, 356, B22, S18, 1
B22, Trade, 549.825, 350, B22, S16, 1
B22, Trade, 554.450, 351, S11, B22, 1
B22, Trade, 568.625, 341, B22, S08, 1
B22, Trade, 581.850, 344, B22, S14, 1
B22, Trade, 589.325, 348, B22, S06, 1
B23, 52
B23, Trade, 4.888, 200, B23, S10, 1
B23, Trade, 23.475, 206, B23, S11, 1
B23, Trade, 38.163, 208, B23, S01, 1
B23, Trade, 43.713, 200, B23, S12, 1
B23, Trade, 62.613, 191, B23, S06, 1
B23, Trade, 68.463, 195, B23, S10, 1
B23, Trade, 85.175, 201, B23, S00, 1
B23, Trade, 91.763, 201, B23, S04, 1
B23, Trade, 96.088, 200, B23, S16, 1
B23, Trade, 108.700, 192, B23, S01, 1
B23, Trade, 114.988, 201, B23, S14, 1
B23, Trade, 129.325, 192, B23, S09, 1
B23, Trade, 135.063, 204, B23, S14, 1
B23, Trade, 144.375, 206, B23, S20, 1
B23, Trade, 154.012, 184, S17, B23, 1
B23, Trade, 174.862, 211, B23, S21, 1
B23, Trade, 179.375, 209, B23, S15, 1
B23, Trade, 191.400, 193, B23, S15, 1
B23, Trade, 196.512, 191, B23, S14, 1
B23, Trade, 217.062, 201, B23, S14, 1
B23, Trade, 230.437, 212, B23, S03, 1
B23, Trade, 232.887, 196, S19, B23, 1
B23, Trade, 253.475, 199, B23, S00, 1
B23, Trade, 260.962, 212, B23, S16, 1
B23, Trade, 264.362, 194, B23, S05, 1
B23, Trade, 275.512, 212, B23, S14, 1
B23, Trade, 290.050, 188, B23, S00, 1
B23, Trade, 307.375, 301, S36, B23, 1
B23, Trade, 322.087, 347, B23, S16, 1
B23, Trade, 331.737, 349, B23, S08, 1
B23, Trade, 345.000, 345, B23, S08, 1
B23, Trade, 352.925, 348, B23, S19, 1
B23, Trade, 366.100, 337, S07, B23, 1
B23, Trade, 380.600, 349, B23, S01, 1
B23, Trade, 394.137, 345, B23, S14, 1
B23, Trade, 399.387, 338, B23, S12, 1
B23, Trade, 407.887, 350, B23, S09, 1
B23, Trade, 422.737, 348, B23, S08, 1
B23, Trade, 441.012, 341, B23, S12, 1
B23, Trade, 449.187, 346, B23, S01, 1
B23, Trade, 461.437, 349, B23, S14, 1
B23, Trade, 469.137, 349, B23, S10, 1
B23, Trade, 479.187, 344, B23, S17, 1
B23, Trade, 490.725, 348, B23, S04, 1
B23, Trade, 502.262, 348, B23, S16, 1
B23, Trade, 510.512, 345, B23, S01, 1
B23, Trade, 512.700, 345, B23, S00, 1
B23, Trade, 538.625, 348, B23, S14, 1
B23, Trade, 544.050, 355, B23, S20, 1
B23, Trade, 556.675, 347, B23, S10, 1
B23, Trade, 568.100, 341, B23, S04, 1
B23, Trade, 582.450, 345, B23, S05, 1
B24, 46
B24, Trade, 6.050, 198, B24, S15, 1
B24, Trade, 20.662, 200, B24, S13, 1
B24, Trade, 31.075, 198, B24, S15, 1
B24, Trade, 44.300, 199, B24, S15, 1
B24, Trade, 52.463, 199, B24, S18, 1
B24, Trade, 65.875, 194, B24, S18, 1
B24, Trade, 81.475, 198, B24, S06, 1
B24, Trade, 99.563, 200, S01, B24, 1
B24, Trade, 101.538, 198, B24, S16, 1
B24, Trade, 116.225, 198, B24, S10, 1
B24, Trade, 131.400, 196, S19, B24, 1
B24, Trade, 138.200, 206, B24, S18, 1
B24, Trade, 153.412, 190, B24, S15, 1
B24, Trade, 176.937, 210, B24, S14, 1
B24, Trade, 188.625, 199, B24, S07, 1
B24, Trade, 194.162, 192, B24, S01, 1
B24, Trade, 207.812, 185, B24, S12, 1
B24, Trade, 226.250, 207, B24, S04, 1
B24, Trade, 235.000, 195, B24, S16, 1
B24, Trade, 249.325, 198, S13, B24, 1
B24, Trade, 261.812, 209, B24, S11, 1
B24, Trade, 271.212, 194, B24, S10, 1
B24, Trade, 287.487, 189, B24, S13, 1
B24, Trade, 308.412, 322, S06, B24, 1
B24, Trade, 321.625, 350, S09, B24, 1
B24, Trade, 338.962, 346, S01, B24, 1
B24, Trade, 353.000, 349, S07, B24, 1
B24, Trade, 361.475, 346, B24, S05, 1
B24, Trade, 373.987, 346, B24, S15, 1
B24, Trade, 392.412, 346, S13, B24, 1
B24, Trade, 397.337, 339, B24, S08, 1
B24, Trade, 411.362, 349, B24, S05, 1
B24, Trade, 428.912, 353, S07, B24, 1
B24, Trade, 437.737, 342, B24, S05, 1
B24, Trade, 451.675, 347, S13, B24, 1
B24, Trade, 466.587, 350, B24, S15, 1
B24, Trade, 485.850, 351, S20, B24, 1
B24, Trade, 502.375, 349, S18, B24, 1
B24, Trade, 525.875, 350, S09, B24, 1
B24, Trade, 533.850, 344, B24, S06, 1
B24, Trade, 546.787, 355, B24, S10, 1
B24, Trade, 550.462, 349, B24, S00, 1
B24, Trade, 554.512, 350, B24, S17, 1
B24, Trade, 573.350, 340, B24, S14, 1
B24, Trade, 584.637, 347, B24, S16, 1
B24, Trade, 591.387, 347, S13, B24, 1
B25, 55
B25, Trade, 15.000, 199, B25, S15, 1
B25, Trade, 17.112, 194, B25, S17, 1
B25, Trade, 35.712, 207, B25, S16, 1
B25, Trade, 49.013, 204, B25, S04, 1
B25, Trade, 54.438, 195, B25, S14, 1
B25, Trade, 70.963, 191, B25, S15, 1
B25, Trade, 76.325, 194, B25, S01, 1
B25, Trade, 89.413, 202, B25, S17, 1
B25, Trade, 99.400, 200, B25, S05, 1
B25, Trade, 104.013, 196, B25, S12, 1
B25, Trade, 115.988, 199, B25, S13, 1
B25, Trade, 132.125, 197, B25, S15, 1
B25, Trade, 142.275, 204, B25, S14, 1
B25, Trade, 148.075, 204, B25, S00, 1
B25, Trade, 152.887, 193, B25, S08, 1
B25, Trade, 163.050, 190, S11, B25, 1
B25, Trade, 176.212, 211, B25, S16, 1
B25, Trade, 187.762, 200, B25, S02, 1
B25, Trade, 192.662, 193, B25, S08, 1
B25, Trade, 219.125, 201, B25, S04, 1
B25, Trade, 226.812, 207, B25, S16, 1
B25, Trade, 240.825, 200, B25, S18, 1
B25, Trade, 246.362, 197, B25, S01, 1
B25, Trade, 261.850, 209, B25, S08, 1
B25, Trade, 273.425, 201, B25, S16, 1
B25, Trade, 279.537, 213, B25, S20, 1
B25, Trade, 287.737, 188, B25, S14, 1
B25, Trade, 300.625, 196, B25, S14, 1
B25, Trade, 306.962, 295, S35, B25, 1
B25, Trade, 322.550, 346, B25, S12, 1
B25, Trade, 330.912, 349, B25, S16, 1
B25, Trade, 338.750, 345, B25, S05, 1
B25, Trade, 347.375, 345, B25, S04, 1
B25, Trade, 358.650, 344, B25, S08, 1
B25, Trade, 373.487, 342, B25, S08, 1
B25, Trade, 381.412, 346, B25, S12, 1
B25, Trade, 394.900, 344, B25, S00, 1
B25, Trade, 415.662, 349, B25, S14, 1
B25, Trade, 426.062, 350, B25, S03, 1
B25, Trade, 436.612, 345, B25, S16, 1
B25, Trade, 450.212, 344, B25, S04, 1
B25, Trade, 458.025, 349, B25, S15, 1
B25, Trade, 472.500, 347, B25, S00, 1
B25, Trade, 488.850, 348, B25, S16, 1
B25, Trade, 492.300, 347, B25, S16, 1
B25, Trade, 497.112, 344, B25, S17, 1
B25, Trade, 513.387, 346, B25, S12, 1
B25, Trade, 521.200, 342, B25, S08, 1
B25, Trade, 529.812, 346, B25, S04, 1
B25, Trade, 534.800, 344, B25, S16, 1
