B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 0
S18, Trade, 50.525, 193, S18, B23, 1
S18, Trade, 69.688, 190, S18, B23, 1
S18, Trade, 87.825, 190, S18, B26, 1
S19, 1
S19, Trade, 9.562, 212, S19, B29, 1
S20, 1
S20, Trade, 3.813, 220, S20, B38, 1
S21, 0
S22, 0
S23, 0
S24, 1
S24, Trade, 8.113, 233, S24, B39, 1
S25, 0
S26, 0
S27, 0
S28, 0
S29, 0
S30, 0
S31, 0
S32, 0
S33, 0
S34, 0
S35, 0
S36, 0
S37, 0
S38, 0
S39, 0
